Place,2020 Total Population,2010 Total Population,Percent Change
Maine,1362359,1328361,3%
Manchester town,2456,2580,-5%
Mapleton town,1886,1948,-3%
Mariaville town,472,513,-8%
Mars Hill town,1360,1493,-9%
Marshfield town,528,518,2%
Masardis town,204,249,-18%
Mattawamkeag town,596,687,-13%
Maxfield town,89,97,-8%
Mechanic Falls town,3107,3031,3%
Meddybemps town,139,157,-11%
Medford town,230,254,-9%
Medway town,1187,1349,-12%
Mercer town,709,664,7%
Merrill town,208,273,-24%
Mexico town,2756,2681,3%
Milbridge town,1375,1353,2%
Milford town,3069,3070,0%
Millinocket town,4114,4506,-9%
Milo town,2251,2340,-4%
Minot town,2766,2607,6%
Monmouth town,4066,4104,-1%
Monroe town,931,890,5%
Monson town,609,686,-11%
Monticello town,737,790,-7%
Montville town,1020,1032,-1%
Moose River town,188,218,-14%
Morrill town,971,884,10%
Moscow town,475,512,-7%
Mount Chase town,187,201,-7%
Mount Desert town,2146,2053,5%
Mount Vernon town,1721,1640,5%
Naples town,3925,3872,1%
New Canada town,310,321,-3%
New Gloucester town,5676,5542,2%
New Limerick town,574,510,13%
New Portland town,765,718,7%
New Sharon town,1458,1407,4%
New Sweden town,577,602,-4%
New Vineyard town,721,757,-5%
Newburgh town,1595,1551,3%
Newcastle town,1848,1752,5%
Newfield town,1648,1522,8%
Newport town,3133,3275,-4%
Newry town,411,329,25%
Nobleboro town,1791,1643,9%
Norridgewock town,3278,3367,-3%
North Berwick town,4978,4576,9%
North Haven town,417,355,17%
North Yarmouth town,4072,3565,14%
Northfield town,178,148,20%
Northport town,1550,1520,2%
Norway town,5077,5014,1%
Oakfield town,661,737,-10%
Oakland town,6230,6240,0%
Ogunquit town,1577,892,77%
Old Orchard Beach town,8960,8624,4%
Old Town city,7431,7840,-5%
Orient town,156,147,6%
Orland town,2221,2225,0%
Orono town,11183,10362,8%
Orrington town,3812,3733,2%
Osborn town,65,67,-3%
Otis town,673,672,0%
Otisfield town,1853,1770,5%
Owls Head town,1504,1580,-5%
Oxford town,4229,4110,3%
Palermo town,1570,1535,2%
Palmyra town,1924,1986,-3%
Paris town,5179,5183,0%
Parkman town,747,843,-11%
Parsonsfield town,1791,1898,-6%
Passadumkeag town,356,374,-5%
